Date,Headline,Ticker,Content
2020-02-18 00:00:00 UTC,"9 Stocks To Watch For February 18, 2020",A,
2020-02-18 00:00:00 UTC,"Earnings Scheduled For February 18, 2020",A,
2020-02-14 00:00:00 UTC,Pershing Square 13F Shows Raised Stake In Agilent By 11.4% To 3.25M Shares,A,
2020-02-06 00:00:00 UTC,Twist Bioscience Reports Settlement Deal With Agilent; Co. Will Pay Agilent $22.5M,A,
2020-02-06 00:00:00 UTC,Cowen Says Views Potential Twist-Agilent Settlement As 'a likely clearing event for additional investment in TWST',A,
2020-02-05 00:00:00 UTC,Pershing Square Sees 'Substantial Opportunity' For Improvement In Agilent's A.N Business Performance,A,
2020-01-30 00:00:00 UTC,Agilent shares are trading lower. Not seeing any news to justify the price action.,A,
2020-01-22 00:00:00 UTC,Stocks That Hit 52-Week Highs On Wednesday,A,
2020-01-17 00:00:00 UTC,Stocks That Hit 52-Week Highs On Friday,A,
2020-01-16 00:00:00 UTC,Stocks That Hit 52-Week Highs On Thursday,A,
2020-01-15 00:00:00 UTC,Stocks That Hit 52-Week Highs On Wednesday,A,
2020-01-10 00:00:00 UTC,Stocks That Hit 52-Week Highs On Friday,A,
2020-01-09 00:00:00 UTC,Stocks That Hit 52-Week Highs On Thursday,A,
2020-01-08 00:00:00 UTC,"Wells Fargo Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $100 Price Target",A,
2020-01-07 00:00:00 UTC,"Citigroup Initiates Coverage On Agilent Technologies with Neutral Rating, Announces $85 Price Target",A,
2020-01-03 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For January 3, 2020",A,
2019-12-27 00:00:00 UTC,Stocks That Hit 52-Week Highs On Friday,A,
2019-12-23 00:00:00 UTC,Stocks That Hit 52-Week Highs On Monday,A,
2019-12-20 00:00:00 UTC,Stocks That Hit 52-Week Highs On Friday,A,
2019-12-12 00:00:00 UTC,Stocks That Hit 52-Week Highs On Thursday,A,
2019-12-11 00:00:00 UTC,There's A New Trading Tool That Allows Traders To Trade Cannabis With Leverage,A,
2019-12-10 00:00:00 UTC,Stocks That Hit 52-Week Highs On Tuesday,A,
2019-12-10 00:00:00 UTC,PreMarket Prep Recap: Yo-Yo Market And After-Hours Overshoot On Ackman's New Stake,A,
2019-12-10 00:00:00 UTC,41 Healthcare Stocks Moving In Tuesday's Pre-Market Session,A,
2019-12-09 00:00:00 UTC,UPDATE: Bill Ackman's Pershing Square Files Amended 13F Showing New ~2.916M Share Stake In Agilent,A,
2019-12-09 00:00:00 UTC,Hearing Pershing Square Reports 2.9M Share Stake In Agilent,A,
2019-12-06 00:00:00 UTC,Stocks That Hit 52-Week Highs On Friday,A,
2019-11-26 00:00:00 UTC,"UBS Maintains Neutral on Agilent Technologies, Raises Price Target to $87",A,
2019-11-25 00:00:00 UTC,Aligent shares are trading higher after the company reported better-than-expected Q4 EPS and sales results.,A,
2019-11-25 00:00:00 UTC,"Agilent Sees FY20 Adj. EPS $3.38-$3.43 vs $3.44 Estimate, Sales $5.5B-$5.55B vs $5.55B Est.",A,
2019-11-25 00:00:00 UTC,"Agilent Sees Q1 Adj. EPS $0.80-$0.81 vs $0.84 Estimate, Sales $1.34B-$1.355B vs $1.38B Est.",A,
2019-11-25 00:00:00 UTC,"Agilent Technologies Q4 Adj. EPS $0.89 Beats $0.85 Estimate, Sales $1.37B Beat $1.33B Estimate",A,
2019-11-25 00:00:00 UTC,"7 Stocks To Watch For November 25, 2019",A,
2019-11-25 00:00:00 UTC,"Earnings Scheduled For November 25, 2019",A,
2019-11-20 00:00:00 UTC,Agilent Raises Qtr. Dividend From $0.164 To $0.18/Share,A,
2019-11-15 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For November 15, 2019",A,
2019-11-15 00:00:00 UTC,"Stifel Nicolaus Initiates Coverage On Agilent Technologies with Hold Rating, Announces $85 Price Target",A,
2019-10-18 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For October 18, 2019",A,
2019-10-18 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Edge Higher Ahead Of Fed Speakers,A,
2019-10-18 00:00:00 UTC,"UBS Downgrades Agilent Technologies to Neutral, Announces $82 Price Target",A,
2019-10-11 00:00:00 UTC,Shares of several healthcare companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks as traders grew more optimistic over the possibility of a limited trade deal. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,A,
2019-10-09 00:00:00 UTC,"Barclays Maintains Equal-Weight on Agilent Technologies, Lowers Price Target to $76",A,
2019-10-08 00:00:00 UTC,Shares of several healthcare companies are trading lower with the broader market after the US expanded its trade blacklist to include China's top AI firms. The US also will increase its tariffs on $250 billion worth of goods from 25% to 30% on Oct 15.,A,
2019-10-02 00:00:00 UTC,Shares of several healthcare companies are trading lower in sympathy with the overall market on continued fears of a recession amid a weak ADP jobs report. There is also uncertainty in the market over the upcoming U.S.-China meeting next week.,A,
2019-09-05 00:00:00 UTC,Shares of several healthcare companies are trading higher in sympathy with the overall market after the Chinese Minister of Commerce said the leaders of the U.S. and China are set to meet in Washington D.C in early October. Investors hope the meeting could bring the two countries closer to a trade deal.,A,
2019-09-03 00:00:00 UTC,Agilent Collaborates On Study Of Performance-Enhancing Spinach Extract,A,
2019-08-16 00:00:00 UTC,"Top 10 Movers Via Benzinga Pro's Screener Tool For Morning of Friday., August 16, 2019",A,
2019-08-16 00:00:00 UTC,75 Biggest Movers From Yesterday,A,
2019-08-15 00:00:00 UTC,46 Stocks Moving In Thursday's Mid-Day Session,A,
2019-08-15 00:00:00 UTC,Agilent Technologies shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also issued FY19 EPS above analyst estimates.,A,
2019-08-15 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Tumble Ahead Of Economic Data,A,
2019-08-15 00:00:00 UTC,"10 Stocks To Watch For August 15, 2019",A,
2019-08-14 00:00:00 UTC,Agilent Technologies shares are trading higher after the company reported better-than-expected Q3 EPS and sales results. The company also issued FY19 EPS above analyst estimates.,A,
2019-08-14 00:00:00 UTC,"Agilent Technologies Sees Q4 Adj. EPS $0.84-$0.86 vs $0.87 Est., Sales $1.31B-$1.33B vs $1.34B Est., Sees FY19 Adj. EPS $3.07-$3.08 vs $3.05 Est., Sales $5.105B-$5.125B vs $5.11B Est.",A,
2019-08-14 00:00:00 UTC,"Agilent Technologies Q3 Adj. EPS $0.76 Beats $0.72 Estimate, Sales $1.27B Beat $1.24B Estimate",A,
2019-08-14 00:00:00 UTC,Q3 Earnings Preview For Agilent Technologies,A,
2019-08-14 00:00:00 UTC,"Earnings Scheduled For August 14, 2019",A,
2019-08-06 00:00:00 UTC,"Shares of diagnostics and research companies are trading higher in sympathy with Syneos Health, which reported strong Q2 results and raised FY19 guidance.",A,
2019-08-05 00:00:00 UTC,Shares of several gold companies are trading higher amid heightened US-China trade tensions. Concerns of a trade war have led investors into 'safe-haven' assets such as gold.,A,
2019-08-01 00:00:00 UTC,Agilent Announces Settlement of Key Intellectual Property Case in China,A,
2019-07-31 00:00:00 UTC,Agilent Shares Unaffected As Hearing FDA Approved Co.'s PD-L1 IHC 22C3 PharmDx Assay For Expanded Use,A,
2019-07-16 00:00:00 UTC,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Tuesday, July 16, 2019",A,
2019-07-16 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For July 16, 2019",A,
2019-07-16 00:00:00 UTC,Bank of America Downgrades Agilent Technologies to Neutral,A,
2019-07-15 00:00:00 UTC,"Barclays Downgrades Agilent Technologies to Equal-Weight, Lowers Price Target to $78",A,
2019-07-11 00:00:00 UTC,Agilent Will Acquire BioTek Instruments In $1.16B Deal,A,
2019-07-11 00:00:00 UTC,Agilent To Purchase BioTek Instruments For $1.165B,A,
2019-06-11 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For June 11, 2019",A,
2019-06-11 00:00:00 UTC,Agilent Companion Diagnostic Receives Expanded FDA Approval For PD-L1 IHC 22C3 PharmDx,A,
2019-06-11 00:00:00 UTC,"Piper Jaffray Initiates Coverage On Agilent Technologies with Overweight Rating, Announces $83 Price Target",A,
2019-05-16 00:00:00 UTC,"Shares of many Healthcare companies are trading higher as markets rebound from the recent volatility caused by uncertainty regarding US-China trade talks. Also, lawmakers were not able to pass a bill that would end 'surprise medical bills'.",A,
2019-05-16 00:00:00 UTC,60 Biggest Movers From Yesterday,A,
2019-05-15 00:00:00 UTC,44 Stocks Moving In Wednesday's Mid-Day Session,A,
2019-05-15 00:00:00 UTC,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Wed., May 15, 2019",A,
2019-05-15 00:00:00 UTC,"Bank of America Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $82",A,
2019-05-15 00:00:00 UTC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also announced weak Q3 sales guidance.,A,
2019-05-15 00:00:00 UTC,"Deutsche Bank Maintains Buy on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $85",A,
2019-05-15 00:00:00 UTC,"Barclays Maintains Overweight on Agilent Technologies, Inc. Common Stock, Lowers Price Target to $86",A,
2019-05-15 00:00:00 UTC,"A Peek Into The Markets: US Stock Futures Down Ahead Of Macy's Earnings, Economic Data",A,
2019-05-15 00:00:00 UTC,"8 Stocks To Watch For May 15, 2019",A,
2019-05-14 00:00:00 UTC,5 Stocks Moving In Tuesday's After-Hours Session,A,
2019-05-14 00:00:00 UTC,Agilent Technologies shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results; the company also issued Q3 sales guidance below analyst estimates.,A,
2019-05-14 00:00:00 UTC,"Agilent Technologies Sees Q3 Adj. EPS $0.71-$0.73 vs $0.73 Est., Sales $1.225B-$1.245B vs $1.27B Est. Sees FY19 Adj. EPS $3.03-$3.07 vs $3.07 Est., Sales $5.085B-$5.125B vs $5.19B Est.",A,
2019-05-14 00:00:00 UTC,"Agilent Technologies Q2 Adj. EPS $0.71 Misses $0.72 Estimate, Sales $1.24B Miss $1.27B Estimate",A,
2019-05-14 00:00:00 UTC,"Shares of several healthcare companies are trading higher as the US market rebounds from recent weakness, driven by renewed cautious optimism surrounding US-China trade talks.",A,
2019-05-14 00:00:00 UTC,"6 Stocks To Watch For May 14, 2019",A,
2019-05-14 00:00:00 UTC,"Earnings Scheduled For May 14, 2019",A,
2019-05-10 00:00:00 UTC,Shares of several healthcare companies are trading lower in sympathy with the overall market. The S&P 500 is trading lower 1%,A,
2019-03-26 00:00:00 UTC,10 Biggest Price Target Changes For Tuesday,A,
2019-03-26 00:00:00 UTC,"Cowen & Co. Maintains Outperform on Agilent Technologies, Raises Price Target to $90",A,
2019-03-15 00:00:00 UTC,"Benzinga's Top Upgrades, Downgrades For March 15, 2019",A,
2019-03-15 00:00:00 UTC,"UBS Initiates Coverage On Agilent Technologies with Buy Rating, Announces $92 Price Target",A,
2019-02-21 00:00:00 UTC,"Barclays Maintains Overweight on Agilent Technologies, Raises Price Target to $83",A,
2019-02-20 00:00:00 UTC,"UPDATE: Agilent Raises FY19 Adj. EPS Guidance From $3-$3.05 To $3.03-$3.07 vs $3.05 Estimate, Sales From $5.13B-$5.17B To $5.15B-$5.19B vs $5.17B Est.",A,
2019-02-20 00:00:00 UTC,"Agilent Sees Q2 Adj. EPS $0.70-$0.72 vs $0.72 Estimate, Sales $1.255B-$1.27B vs $1.27B Est.; Raises FY19 Guidance",A,
2019-02-20 00:00:00 UTC,"Agilent Technologies Q1 EPS $0.76 Beats $0.73 Estimate, Sales $1.284B Beat $1.27B Estimate",A,
2019-02-20 00:00:00 UTC,"10 Stocks To Watch For February 20, 2019",A,
2019-02-20 00:00:00 UTC,"Earnings Scheduled For February 20, 2019",A,
2019-02-14 00:00:00 UTC,"JANA 13F Shows Liquidated Stakes In Alibaba, Agilent, US Steel, SVMK, Electronic Arts, Dollar Tree",A,
2019-02-12 00:00:00 UTC,8 Biggest Price Target Changes For Tuesday,A,
2019-02-12 00:00:00 UTC,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $85",A,
2019-01-29 00:00:00 UTC,Agilent Technologies Option Alert: Mar 15 $75 Calls at the Ask: 1000 @ $2.3 vs 33 OI; Earnings 2/20 After Close Ref=$73.74,A,
2019-01-03 00:00:00 UTC,"Needham Initiates Coverage On Agilent Technologies with Buy Rating, Announces $77 Price Target",A,
2018-11-21 00:00:00 UTC,50 Biggest Movers From Yesterday,A,
2018-11-20 00:00:00 UTC,36 Stocks Moving In Tuesday's Mid-Day Session,A,
2018-11-20 00:00:00 UTC,Shares of Agilent Technologies are trading up 6% after the company beat Q4 Earnings estimates and issued upbeat FY19 guidance.,A,
2018-11-20 00:00:00 UTC,"Morgan Stanley Maintains Overweight on Agilent Technologies, Raises Price Target to $89",A,
2018-11-20 00:00:00 UTC,26 Stocks Moving In Tuesday's Pre-Market Session,A,
2018-11-20 00:00:00 UTC,"10 Stocks To Watch For November 20, 2018",A,
2018-11-19 00:00:00 UTC,6 Stocks Moving In Monday's After-Hours Session,A,
2018-11-19 00:00:00 UTC,"Agilent Sees Q1 Adj. EPS $0.71-$0.73 vs $0.72 Estimate, Sales $1.265B-$1.28B vs $1.27B Est.",A,
2018-11-19 00:00:00 UTC,"Agilent Sees FY19 Adj. EPS $3-$3.05 vs $2.96 Estimate, Sales $5.13B-$5.17B vs $5.18B Est.",A,
2018-11-19 00:00:00 UTC,"Agilent Technologies, Inc. Q4 EPS $0.81 Beats $0.74 Estimate, Sales $1.29B Beat $1.25B Estimate",A,
2018-11-19 00:00:00 UTC,"8 Stocks To Watch For November 19, 2018",A,
2018-11-19 00:00:00 UTC,"Earnings Scheduled For November 19, 2018",A,
2018-11-14 00:00:00 UTC,13F From JANA Shows Cut Stake In Agilent,A,
2018-10-29 00:00:00 UTC,Agilent Highlights Letter To SEC Related To Material Misstatements In Twist Bioscience's S-1,A,
2018-10-10 00:00:00 UTC,"Morgan Stanley Maintains Overweight on Agilent Technologies, Raises Price Target to $86",A,
2018-09-26 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Up; All Eyes On Fed Decision,A,
2018-09-26 00:00:00 UTC,Agilent Technologies To Acquire ACEA Biosciences; Financial Terms Not Disclosed,A,
2018-09-26 00:00:00 UTC,Agilent to Acquire ACEA Biosciences for $250M in Cash,A,
2018-09-17 00:00:00 UTC,"A Life Science Tools And Diagnostics Pair Trade: Goldman Recommends Buying Agilent, Moving to Sidelines On Thermo Fisher",A,
2018-08-21 00:00:00 UTC,"Agilent Companion Diagnostic Gains Expanded FDA Approval in Urothelial Carcinoma, PD-L1 IHC 22C3 pharmDx Now Approved to Identify Certain Urothelial Carcinoma Patients for Treatment With KEYTRUDA",A,
2018-08-15 00:00:00 UTC,"Deutsche Bank Maintains Buy on Agilent Technologies, Raises Price Target to $80",A,
2018-08-15 00:00:00 UTC,30 Stocks Moving In Wednesday's Pre-Market Session,A,
2018-08-15 00:00:00 UTC,"Morgan Stanley Maintains Overweight on Agilent Technologies, Raises Price Target to $84",A,
2018-08-15 00:00:00 UTC,A Peek Into The Markets: US Stock Futures Tumble Ahead Of Economic Reports,A,
2018-08-15 00:00:00 UTC,"10 Stocks To Watch For August 15, 2018",A,
2018-08-14 00:00:00 UTC,"Agilent Technologies Q3 Adj. EPS $0.67 Beats $0.63 Estimate, Sales $1.203B Beat $1.2B Estimate",A,
2018-08-14 00:00:00 UTC,"13F Filing From Tiger Global Shows Dissolved Stake In Activision, Agilent, Altria, and American Express",A,
2018-08-14 00:00:00 UTC,Jana Partners 13F shows Increased Stake In Agilent Technologies From ~1.02M Shares To ~1.22M Shares,A,
2018-08-14 00:00:00 UTC,Agilent Technologies Q3 Earnings Preview,A,
2018-08-14 00:00:00 UTC,"Earnings Scheduled For August 14, 2018",A,
2018-08-14 00:00:00 UTC,"10 Stocks To Watch For August 14, 2018",A,
2018-07-31 00:00:00 UTC,"Agilent Announces CFO Didier Hirsch To Retire October 31, Robert McMahon To Become CFO",A,
2018-07-17 00:00:00 UTC,Waters Has Limited Upside Potential To Growth Expectations; Janney Steps to The Sidelines,A,
2018-07-09 00:00:00 UTC,"Agilent, Nanyang Technological University Singapore to Develop Novel Approaches for Water Analysis",A,
2018-06-12 00:00:00 UTC,Agilent Companion Diagnostic Gains Expanded FDA Approval In Cervical Cancer,A,
2018-05-30 00:00:00 UTC,"Agilent to Acquire Assets of Ultra Scientific, No Financial Terms Disclosed",A,
2018-05-24 00:00:00 UTC,"Agilent, University of Duisburg-Essen Announce Collaboration Agreement",A,
2018-05-23 00:00:00 UTC,Agilent Signs Agreement to Acquire Assets from Young in Scientific Co. Ltd.; Financial Terms Not Disclosed,A,
2018-05-18 00:00:00 UTC,"Pot Stocks, ETFs, Top News And Data From The Cannabis Industry This Week",A,
2018-05-16 00:00:00 UTC,45 Biggest Movers From Yesterday,A,
2018-05-15 00:00:00 UTC,37 Stocks Moving In Tuesday's Mid-Day Session,A,
2018-05-15 00:00:00 UTC,Cowen & Co. Upgrades Agilent Technologies to Outperform,A,
2018-05-15 00:00:00 UTC,Traders Circulating Chatter That Cowen Upgraded Agilent,A,
2018-05-15 00:00:00 UTC,25 Stocks Moving In Tuesday's Pre-Market Session,A,
2018-05-14 00:00:00 UTC,10 Stocks Moving In Monday's After-Hours Session,A,
2018-05-14 00:00:00 UTC,Agilent Technologies Shares Down 6.5% After Hours Following Mixed Q2 Results; Co. Reaffirmed Downbeat Q3 And FY18 Guidance Estimates,A,
2018-05-14 00:00:00 UTC,"Agilent Technologies Reaffirms FY2018 EPS ~$2.65 vs $2.70 Est., Core Sales Growth 5.5%",A,
2018-05-14 00:00:00 UTC,Agilent Technologies Sees Q3 EPS $0.61-0.63 vs $0.65 Est; Sees Sales $1.19B-1.21B vs $1.21B Est,A,
2018-05-14 00:00:00 UTC,"Agilent Technologies Q2 EPS $0.65 Beats $0.64 Estimate, Sales $1.206B Miss $1.21B Estimate",A,
2018-05-14 00:00:00 UTC,"The Week Ahead: Coindesk Conference, Walmart And Retailers Close Out Earnings Season",A,
2018-05-14 00:00:00 UTC,"7 Stocks To Watch For May 14, 2018",A,
2018-05-14 00:00:00 UTC,"Earnings Scheduled For May 14, 2018",A,
2018-05-02 00:00:00 UTC,"Agilent Reports Purchase Of Genohm, No Terms Disclosed",A,
2018-04-18 00:00:00 UTC,Agilent Technologies Files Second Civil Action Against Changzhou Pannatek to 'Protect Intellectual Property',A,
2018-04-11 00:00:00 UTC,"Morgan Stanley Maintains Overweight on Agilent Technologies, Lowers Price Target to $91.00",A,
2018-04-03 00:00:00 UTC,"UPDATE: Alnylam, Agilent Deal Has Initial Term Of 5 Years, With Automatic Renewal Terms OF 2 Years Absent Earlier Termination, No Further Terms Disclosed",A,
2018-04-03 00:00:00 UTC,Alnylam Pharma 8-K Shows Co. Entered Manufacturing Services Deal With Agilent For Providing Of Commercial Supply Of Patisiran,A,
2018-04-03 00:00:00 UTC,Agilent Technologies Signs Agreement To Acquire Lasergen For $105M,A,
2018-03-07 00:00:00 UTC,Agilent Technologies to Acquire Advanced Analytical Technologies for $250M in Cash,A,
2018-02-15 00:00:00 UTC,"Bank Of America Out Positive On Agilent, Raises Price Target From $80 To $83 As Frim Says Core Business Continues To Do Well, Led By C&E Strength And Pharma; Remains A Focus Stock For Bank of America",A,
2018-02-15 00:00:00 UTC,"JP Morgan Maintains Overweight on Agilent Technologies Inc, Raises price target to $80.00",A,
2018-02-14 00:00:00 UTC,"Agilent Sees Q2 Adj. EPS $0.61-$0.63 vs $0.64 Est., Sales $1.2B-$1.22B vs $1.17B Est.; FY18 Adj. EPS $2.62-$2.68 vs $2.59 Est., Sales $4.885B-$4.905B vs $5.04B Est.",A,
2018-02-14 00:00:00 UTC,"Agilent Reports Q1 Adj. EPS $0.66 vs $0.58 Est., Sales $1.21B vs $1.16B Est.",A,
2018-02-14 00:00:00 UTC,"Earnings Scheduled For February 14, 2018",A,
2018-02-13 00:00:00 UTC,Phillips 66 Says it Has Agreed to Repurchase 35M Shares of Phillips 66 Common Stock from Wholly-owned Subsidiary of Berkshire Hathaway,A,
2018-01-29 00:00:00 UTC,Agilent Reports Scientific Partnership with the University of Southern California,A,
2018-01-23 00:00:00 UTC,The 10 Most Expensive Stocks In The S&P 500,A,
2018-01-09 00:00:00 UTC,"JP Morgan Healthcare Conference Continues Today, Presenters Include: Bluebird Bio, Agilent, Insulet, Cigna, DexCom, Eli Lilly, LifePoint, Acadia, Alkermes, Juno Therapeutics",A,
2018-01-09 00:00:00 UTC,"Agilent Reports Purchase Of Luxcel Biosciences, No Terms Disclosed",A,
2018-01-04 00:00:00 UTC,"Evercore ISI Group Initiates Coverage On Agilent Technologies with Outperform Rating, Announces $75.00 Price Target",A,
2018-01-04 00:00:00 UTC,"Goldman Sachs Healthcare CEOs Unscripted Conference Taking Place Today; Presenters Include Agilent, Bluebird Bio, Boston Scientific, Alexion, Eli Lilly, and Alnylam",A,
